Energy Harvest Systems Data,,,,,,,,,,,,,,,,,,,,,
S.No.,LAT / LONG,,Approx Date ,"Google Map link : not exact : Lat, Long is exact",,,,,,,,,,,,,,,,,
1,"30.54450917853599, 76.61544614399376",,2nd week of Oct 2020,,,,,,,,,,,,,,,,,,
2,"30.527289164067312, 76.63857600861337",,3rd week of Oct ,"https://www.google.co.in/maps/place/30%C2%B032'00.9%22N+76%C2%B038'27.8%22E/@30.5259507,76.6361158,1163m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d30.5335778!4d76.641049",,,,,,,,,,,,,,,,,
3,"30.528045729443704, 76.64122009903663",,End of Oct ,"https://www.google.co.in/maps/place/30%C2%B032'00.9%22N+76%C2%B038'27.8%22E/@30.5270455,76.6405348,1197m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d30.5335778!4d76.641049",,,,,,,,,,,,,,,,,
4,"30.53474709193595, 76.63332163623814",,End of Oct ,,,,,,,,,,,,,,,,,,
5,"30.554208849107447, 76.59364435855639",,2nd week of Nov ,"https://www.google.co.in/maps/@30.552538,76.5935488,1000m/data=!3m1!1e3",,,,,,,,,,,,,,,,,
6,"30.54073114996399, 76.57633740239436",,2nd week of Nov ,"https://www.google.co.in/maps/@30.5438124,76.578591,1769m/data=!3m1!1e3",,,,,,,,,,,,,,,,,
7,"30.566993463005737, 76.60201866836799",,3rd  week of Nov ,"https://www.google.co.in/maps/@30.5570938,76.5932397,3140m/data=!3m1!1e3",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
